0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
453,459,457,407,485,402,367,466,159,383,264,473,418,209,328,469,5
453,460,458,407,485,402,367,467,159,383,265,474,418,209,329,469,5
454,460,458,408,485,402,367,467,158,384,264,473,418,210,329,469,5
454,460,458,408,486,402,367,467,160,384,265,474,418,209,329,470,5
454,461,458,408,486,402,367,467,160,384,266,474,419,210,330,470,5
454,461,458,408,486,402,367,467,160,384,267,475,418,210,331,470,5
454,460,458,408,486,402,367,467,161,384,266,474,418,210,331,470,5
455,461,459,409,486,402,368,468,161,385,267,474,419,211,331,470,5
455,461,459,409,486,403,368,468,161,385,266,475,419,211,332,471,5
455,461,459,409,487,403,368,468,161,385,267,475,420,210,333,471,5
