0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
433,506,507,501,522,470,465,538,451,448,310,437,521,528,484,479,3
437,509,512,500,526,473,466,541,455,453,313,441,523,531,487,482,3
436,508,512,502,524,472,467,540,454,451,313,440,523,531,488,481,3
438,510,514,503,526,473,467,541,455,453,315,441,524,532,489,482,3
438,508,513,500,524,472,465,539,454,453,316,440,522,530,487,480,3
440,511,515,505,527,474,468,542,456,454,316,442,525,533,490,483,3
442,513,518,504,529,475,469,543,458,458,318,444,526,535,491,485,3
442,513,518,507,529,476,470,543,459,456,318,445,527,537,493,486,3
443,515,520,508,530,476,470,544,460,458,320,446,528,537,494,486,3
444,515,520,508,531,477,471,545,461,459,321,447,528,538,494,487,3
