0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
421,512,366,465,550,441,458,553,485,534,492,525,357,503,246,490,2
424,515,361,465,551,442,459,554,485,535,494,527,330,503,243,491,2
425,517,341,465,552,443,462,555,486,535,494,527,339,505,241,492,2
421,515,327,467,553,444,462,554,486,535,495,527,341,505,241,492,2
419,516,313,466,552,445,462,554,486,535,495,528,334,506,242,492,2
422,516,309,467,553,446,462,554,486,535,495,528,328,507,235,493,2
421,518,307,467,553,445,463,554,486,535,495,528,333,507,235,493,2
423,520,312,468,553,446,464,554,486,535,495,528,334,507,238,492,2
423,520,309,469,553,445,464,553,486,535,495,527,330,507,237,493,2
424,521,308,469,552,445,464,554,486,534,495,527,332,507,237,493,2
