0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
234,436,54,514,531,492,478,520,488,546,497,474,305,497,403,517,1
228,432,52,515,531,492,478,521,489,547,497,474,300,498,404,518,1
230,432,51,515,532,493,479,521,489,548,498,475,298,499,405,519,1
239,439,50,516,532,493,480,523,489,548,498,476,301,499,405,518,1
237,436,49,516,533,493,478,523,490,549,498,476,296,500,406,519,1
240,437,49,516,533,493,479,523,490,549,499,476,294,500,406,519,1
244,442,48,516,533,493,479,524,490,549,499,476,301,501,406,519,1
240,440,49,517,534,493,479,524,490,549,499,477,297,501,407,520,1
246,441,47,517,534,493,479,524,490,549,499,477,293,502,408,520,1
253,444,48,517,534,493,480,525,490,549,499,477,297,502,408,520,1
