0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
445,513,406,514,534,479,476,562,467,253,500,472,509,514,495,491,0
448,514,449,515,534,479,475,562,468,282,500,477,509,515,495,491,0
448,514,454,515,534,479,476,562,468,322,500,477,509,515,495,492,0
449,514,457,515,534,479,475,562,468,328,500,477,509,515,495,492,0
449,514,457,515,533,479,476,562,469,331,500,477,509,515,495,493,0
449,514,459,515,534,479,477,563,468,333,501,477,509,516,495,494,0
449,514,461,515,534,479,476,562,468,335,500,477,510,515,496,493,0
449,515,459,516,534,479,475,563,468,334,501,478,509,516,496,494,0
450,515,461,515,534,479,476,563,469,336,500,477,509,515,495,493,0
449,515,461,516,533,478,475,562,468,337,501,477,509,515,496,494,0
