0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
509,551,555,531,509,402,462,490,448,56,509,464,513,521,524,524,0
510,551,555,532,509,403,462,489,448,59,510,465,515,522,527,525,0
510,552,555,533,510,404,462,489,449,62,510,466,514,522,527,525,0
510,552,555,533,510,404,462,489,449,57,510,465,515,522,527,525,0
511,552,555,533,510,404,462,489,449,56,510,465,515,522,527,525,0
511,552,555,534,510,405,462,489,449,57,510,465,515,522,527,526,0
511,552,556,533,511,405,463,492,450,59,510,466,515,524,527,526,0
512,553,555,535,511,406,463,489,449,56,510,467,515,523,527,525,0
512,553,555,534,511,406,463,489,449,54,509,466,515,523,527,526,0
512,553,555,535,511,406,463,491,449,57,510,466,515,524,527,525,0
