0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
32,526,470,572,548,476,465,389,348,209,404,463,487,510,528,505,1
32,525,463,571,546,477,466,424,353,231,405,463,488,513,527,505,1
32,527,474,572,547,477,465,437,352,232,405,464,488,510,528,505,1
32,525,468,572,546,478,466,413,356,234,407,467,488,513,524,505,1
33,527,483,573,548,478,466,398,354,228,406,466,491,512,528,506,1
33,531,483,573,553,477,465,347,355,218,404,466,492,515,529,506,1
32,530,469,571,552,473,466,401,361,223,396,464,496,516,530,504,1
31,530,484,564,544,463,457,333,338,197,379,458,491,489,523,492,1
30,531,482,566,548,466,460,326,352,221,392,460,493,505,525,499,1
30,530,488,568,549,464,461,230,357,224,398,463,494,510,527,503,1
