0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
490,544,30,502,532,381,486,195,449,28,550,513,483,544,483,531,2
492,545,27,502,531,380,486,178,450,26,551,514,482,544,485,532,2
491,545,27,503,532,381,486,172,450,28,551,515,483,544,485,532,2
492,545,27,503,532,380,486,177,451,27,552,515,482,544,485,532,2
492,545,27,504,533,380,486,169,451,26,551,515,483,544,486,532,2
493,546,27,504,533,378,486,170,452,26,551,516,482,544,486,533,2
493,546,28,505,533,379,487,165,452,28,551,517,483,544,486,533,2
495,546,28,505,533,374,487,147,453,26,552,517,483,544,485,534,2
491,546,28,506,534,378,487,142,452,28,551,516,485,546,486,532,2
494,546,28,506,534,377,487,156,453,27,552,517,484,545,486,533,2
