0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
421,534,230,520,529,475,457,328,482,547,501,508,323,544,430,505,3
420,534,229,520,530,476,456,308,482,547,499,507,314,544,427,504,3
420,534,232,521,528,475,458,336,482,547,500,508,327,544,432,506,3
423,534,235,521,529,475,459,347,482,546,502,508,337,545,436,507,3
422,534,233,521,530,475,458,339,482,547,499,508,327,544,433,505,3
421,535,225,520,530,475,457,320,482,548,495,507,307,544,430,504,3
421,534,233,520,529,475,457,329,482,547,496,507,324,543,433,506,3
423,534,240,522,530,475,459,352,482,546,499,507,338,545,437,507,3
422,534,237,521,529,475,459,347,482,546,497,507,330,544,435,506,3
420,536,238,520,530,476,457,316,482,548,495,507,317,544,435,506,3
