0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
498,549,554,528,531,439,471,551,478,389,545,523,502,533,549,537,0
499,549,555,528,531,439,471,552,478,392,545,524,502,533,549,538,0
499,549,555,529,531,439,472,553,478,393,546,524,503,533,550,537,0
499,549,555,529,531,440,471,553,478,394,545,525,503,534,549,537,0
499,549,555,529,531,440,472,553,479,396,545,526,503,534,549,538,0
500,549,554,529,531,440,472,553,479,397,546,526,503,534,549,538,0
500,550,556,530,532,440,472,554,479,399,546,526,504,534,549,538,0
500,549,555,530,532,441,472,554,480,399,546,527,504,535,550,539,0
500,550,556,530,532,441,472,554,480,401,546,527,505,535,550,538,0
500,550,556,530,532,441,472,555,480,401,546,528,505,535,550,539,0
