0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
386,550,267,541,512,369,438,35,473,26,520,469,484,556,381,534,1
348,539,289,541,513,375,431,36,472,27,519,471,483,556,358,535,1
336,534,293,542,514,378,433,37,472,27,520,467,486,557,369,535,1
272,527,276,544,516,374,433,34,474,25,522,470,484,558,372,536,1
300,535,246,544,517,372,437,35,476,24,523,473,484,557,374,535,1
242,521,218,544,513,349,438,34,476,25,524,476,483,557,361,535,1
241,529,232,545,516,361,437,33,477,26,525,475,485,558,376,536,1
297,534,247,544,514,375,440,33,476,25,524,475,487,557,384,536,1
327,537,258,544,514,379,441,33,476,27,524,474,487,557,387,536,1
346,540,269,543,515,382,441,30,475,26,523,473,489,557,390,535,1
