0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
511,552,24,491,543,387,469,277,449,29,474,457,483,552,433,511,2
512,552,26,497,544,389,469,278,450,28,479,462,484,552,433,514,2
512,552,24,497,544,390,469,272,451,27,479,462,484,553,433,513,2
512,552,26,496,545,392,469,282,450,28,478,464,485,553,426,512,2
513,553,27,499,545,392,470,276,450,27,479,464,486,553,429,513,2
514,553,26,498,545,393,470,276,451,27,480,464,485,553,430,513,2
514,553,26,499,545,394,470,273,451,28,478,464,486,553,431,514,2
515,553,27,502,545,394,471,276,452,28,478,465,486,554,433,513,2
514,554,27,500,545,394,471,277,452,28,477,464,486,554,433,514,2
514,553,26,502,545,394,471,276,452,28,479,465,486,554,433,514,2
