0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
531,544,441,526,516,471,471,396,486,482,445,477,515,514,498,464,3
531,544,443,527,516,471,471,405,486,482,446,477,515,514,498,466,3
531,544,443,528,516,471,471,406,486,482,449,479,515,515,499,467,3
531,544,444,527,517,471,471,407,486,482,448,478,516,515,499,467,3
532,544,444,527,517,471,471,407,486,482,449,478,516,515,499,468,3
531,544,444,529,517,471,471,406,486,482,452,481,516,515,500,469,3
532,544,445,527,517,471,471,407,487,482,450,480,517,516,501,468,3
532,545,445,528,518,472,471,408,487,482,451,480,517,516,500,469,3
532,545,445,529,518,472,471,408,486,482,453,481,516,517,501,470,3
532,545,445,527,518,472,471,408,487,483,450,480,517,517,501,470,3
