0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
475,540,509,505,536,424,467,486,327,118,351,411,461,477,525,495,0
464,535,511,504,537,431,462,492,418,285,482,451,457,484,511,501,0
467,538,517,511,537,433,462,490,432,295,504,435,402,467,383,502,0
467,537,513,507,538,434,464,495,445,291,503,456,358,476,367,504,0
469,537,517,511,537,433,464,497,439,305,498,442,381,474,361,504,0
465,536,519,512,536,434,462,495,392,170,460,420,397,440,287,490,0
468,536,517,512,534,433,461,496,426,272,496,437,392,455,279,502,0
476,539,523,509,533,428,460,493,423,201,477,421,471,493,492,504,0
466,537,527,505,526,404,462,511,435,327,502,470,470,492,518,508,0
471,538,531,508,528,407,462,513,435,324,502,473,471,491,523,508,0
