0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
360,492,34,513,473,367,450,92,469,105,507,460,48,528,316,492,1
389,542,223,512,518,337,445,35,475,285,518,481,114,528,321,496,1
411,542,276,514,515,344,445,32,473,265,519,484,142,527,334,498,1
367,544,211,515,520,327,447,31,475,273,520,487,145,529,328,499,1
404,543,270,514,516,352,444,29,473,233,519,488,159,528,338,499,1
331,549,168,516,526,430,402,44,475,258,515,485,142,530,292,499,1
382,550,151,517,530,442,418,40,471,217,516,485,125,527,335,501,1
391,551,103,517,530,442,421,38,475,237,518,489,102,529,338,501,1
411,551,46,518,532,446,431,30,477,110,495,491,59,535,229,483,1
393,551,146,515,531,443,429,45,470,216,505,491,94,526,332,500,1
