0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
509,550,144,511,506,360,439,43,392,29,386,420,493,535,531,524,2
509,551,114,512,508,359,440,40,394,27,388,420,494,536,531,525,2
505,552,54,512,509,364,442,33,398,23,375,406,487,538,532,528,2
509,549,167,511,508,357,441,54,392,27,385,424,493,537,533,526,2
515,549,190,513,507,362,441,39,391,25,389,428,494,537,534,527,2
508,549,176,513,507,326,441,33,392,25,392,431,496,537,534,527,2
510,555,63,514,512,313,440,29,389,23,395,433,492,539,535,528,2
510,555,38,515,514,334,442,28,391,24,398,429,490,539,535,529,2
513,554,53,515,514,337,442,28,391,24,397,430,492,538,535,529,2
513,554,51,515,514,340,442,33,394,26,399,432,492,539,536,530,2
