0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
523,522,246,449,528,448,469,526,480,406,418,460,534,511,469,494,3
525,522,256,451,529,448,469,527,480,412,420,461,533,512,468,494,3
524,523,246,453,529,449,469,527,481,410,420,462,534,513,469,495,3
523,523,237,454,530,450,469,527,481,421,417,464,534,514,467,494,3
522,524,236,454,532,450,468,528,481,423,426,464,533,514,476,501,3
523,524,239,457,530,451,469,528,481,421,426,465,534,515,476,500,3
523,524,236,458,531,451,470,528,482,421,425,465,534,515,477,500,3
524,524,243,459,531,451,470,528,482,420,426,465,534,516,477,500,3
524,524,243,460,532,452,470,528,482,422,426,465,534,516,477,501,3
523,525,234,461,532,451,470,528,482,420,425,465,534,516,477,500,3
