0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
503,550,536,526,523,403,465,511,460,433,519,529,502,503,549,519,0
503,550,535,527,524,410,466,508,461,433,519,530,503,504,549,520,0
504,551,537,528,525,442,467,509,462,434,521,531,505,506,551,521,0
503,550,536,527,524,406,467,509,462,434,520,530,504,505,550,521,0
503,550,536,527,524,449,467,509,462,435,521,530,505,505,550,520,0
503,550,537,527,524,428,467,511,462,435,521,531,505,506,550,520,0
504,550,537,527,524,404,467,512,462,436,522,531,505,506,550,520,0
503,549,536,527,524,461,467,509,461,435,521,530,505,506,549,520,0
503,549,536,527,524,437,467,509,462,435,521,531,505,507,550,521,0
502,549,536,527,524,403,467,510,462,435,522,530,505,507,549,520,0
