0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
479,557,540,530,520,415,403,254,479,464,513,457,448,526,385,526,1
479,556,539,530,520,472,402,230,479,465,513,459,448,526,384,526,1
479,556,539,530,520,435,403,222,479,465,513,459,447,526,385,526,1
479,556,539,531,522,415,402,213,480,465,514,460,447,526,385,527,1
479,556,538,531,521,458,407,210,480,466,514,464,448,526,386,527,1
478,555,537,531,521,453,402,196,479,466,514,464,447,526,386,526,1
479,556,538,531,522,414,398,193,480,466,514,466,447,526,387,527,1
479,556,538,531,522,442,399,190,480,467,515,467,448,527,388,528,1
479,557,539,533,523,462,406,190,481,468,517,469,448,528,388,529,1
479,557,537,533,523,417,410,190,481,468,516,470,449,527,389,528,1
