0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
528,547,447,527,474,468,464,147,414,87,467,462,526,524,405,495,2
527,547,447,526,474,417,464,147,415,87,467,462,526,524,405,495,2
528,547,448,527,474,420,464,143,414,83,468,463,526,524,406,496,2
526,558,430,484,480,469,435,169,450,240,457,417,516,543,320,475,2
523,546,445,525,459,410,459,127,422,155,460,434,526,526,400,489,2
522,549,447,527,467,416,463,139,424,149,463,448,525,524,403,491,2
523,550,449,527,469,467,464,131,426,147,466,450,527,526,405,492,2
523,551,452,528,470,430,465,132,427,143,466,453,527,527,406,493,2
523,551,455,529,472,415,465,131,427,144,468,455,527,527,408,494,2
523,550,457,529,473,452,465,130,428,142,468,456,528,527,408,494,2
