0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
530,540,461,532,503,408,470,534,482,499,456,453,519,533,451,498,3
530,540,464,532,505,433,471,535,482,500,457,457,519,533,458,499,3
531,539,459,535,497,442,473,538,482,518,473,467,527,523,434,500,3
530,541,467,533,510,408,473,537,484,497,482,446,537,497,420,490,3
531,542,470,534,511,467,473,537,484,499,486,450,538,501,418,498,3
531,542,470,533,512,422,473,538,484,499,486,453,538,504,421,502,3
531,542,469,533,511,414,473,537,484,499,485,452,539,505,425,502,3
532,542,469,532,512,461,473,538,484,498,486,451,539,506,427,503,3
531,542,471,534,512,408,474,538,484,499,488,453,539,507,428,505,3
531,542,476,535,512,419,474,538,483,500,492,458,538,508,430,507,3
