0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
440,530,281,507,542,425,452,335,480,403,492,522,54,532,348,485,1
441,530,281,507,542,443,451,333,479,403,492,523,56,532,347,486,1
443,531,279,509,542,537,452,338,479,404,493,524,54,532,349,486,1
443,532,276,509,542,493,452,344,479,405,494,524,54,532,351,487,1
444,532,275,510,543,427,453,347,479,406,495,524,56,532,352,487,1
444,531,271,510,543,437,452,348,479,405,495,524,51,532,354,488,1
445,531,266,511,542,508,452,349,478,405,496,524,52,532,356,489,1
444,531,238,511,541,508,452,356,478,406,497,523,48,530,361,490,1
445,531,241,512,542,460,452,356,478,407,497,523,50,531,363,490,1
446,531,244,512,542,430,453,361,478,407,498,523,52,530,364,490,1
