0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
471,494,205,476,527,457,458,439,477,65,386,425,531,551,524,486,3
471,495,210,482,527,418,458,442,477,69,396,426,530,551,524,489,3
473,497,216,483,528,473,458,440,477,68,398,428,531,551,525,489,3
473,498,215,482,528,456,458,440,477,70,397,429,531,551,525,489,3
474,499,213,481,529,414,458,439,477,68,397,429,531,551,525,489,3
475,499,217,484,529,477,458,440,477,71,401,429,531,551,526,491,3
476,501,221,484,529,450,459,439,477,72,403,430,531,551,526,491,3
475,501,216,483,529,424,459,438,476,70,401,430,532,551,526,490,3
476,502,217,484,529,511,459,440,476,70,403,431,531,550,526,491,3
476,502,225,487,529,420,459,440,477,76,407,432,531,550,526,492,3
