0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
490,524,507,490,523,385,452,533,456,465,509,532,456,504,540,513,0
490,523,508,491,523,400,452,533,456,465,509,532,455,504,540,514,0
492,524,510,491,524,420,453,534,456,464,509,533,452,504,541,514,0
494,525,509,491,525,393,453,532,456,471,509,532,459,504,541,514,0
492,524,512,492,524,437,453,532,456,469,509,533,454,504,541,514,0
494,526,510,492,524,384,454,533,458,474,510,533,459,505,542,515,0
493,525,509,492,525,485,454,533,457,473,510,533,459,505,542,515,0
492,525,512,492,525,389,454,533,457,473,510,533,460,505,542,515,0
494,526,510,493,525,454,456,533,456,465,510,533,454,504,541,514,0
493,525,508,492,525,401,454,533,459,473,510,534,458,506,542,515,0
