0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
472,523,163,486,552,433,457,357,444,39,494,533,499,526,504,491,2
473,524,142,487,552,468,458,366,445,43,495,533,500,526,509,493,2
475,524,127,488,552,466,458,367,445,42,496,533,500,527,510,495,2
476,525,119,487,551,438,458,365,446,42,497,533,500,526,512,497,2
476,525,110,488,552,519,458,366,446,42,497,532,501,526,513,497,2
477,524,115,488,550,442,457,367,446,42,497,532,500,526,513,497,2
477,526,104,489,551,447,458,367,446,42,497,533,501,527,515,499,2
478,528,101,491,554,500,459,370,448,43,499,534,503,529,517,501,2
479,528,109,491,554,430,459,369,449,44,499,534,503,528,516,501,2
480,528,130,491,553,490,459,368,449,42,500,534,504,529,516,501,2
