0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
455,493,462,500,456,318,438,427,450,437,501,471,409,494,321,393,0
456,500,464,499,461,318,437,426,450,437,500,470,408,494,324,405,0
464,505,469,504,466,321,441,430,454,441,505,475,413,499,326,397,0
464,504,468,503,464,319,441,430,453,442,493,466,405,497,333,397,0
440,503,464,502,464,317,439,427,452,440,499,469,410,497,332,407,0
444,504,467,509,466,320,443,431,455,440,505,474,417,501,335,404,0
441,502,465,507,466,321,442,434,455,442,504,473,415,500,334,399,0
441,502,464,506,465,322,442,434,455,442,503,473,416,500,333,404,0
441,501,465,508,465,322,443,436,454,444,504,473,414,498,335,416,0
440,499,463,508,465,322,442,436,453,443,503,473,411,496,332,398,0
