0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
388,489,500,512,518,421,459,519,469,507,459,462,468,524,376,405,3
390,488,499,511,517,420,458,518,468,506,458,463,467,523,376,404,3
386,488,499,515,518,421,462,517,468,506,461,465,467,523,378,408,3
384,487,498,514,517,420,461,516,467,505,457,463,466,522,378,416,3
387,488,499,511,517,421,459,517,468,505,457,463,467,523,378,409,3
388,488,500,510,517,421,458,517,467,505,457,463,467,522,378,405,3
396,495,504,516,520,425,463,522,473,510,463,468,471,528,383,414,3
399,497,507,518,523,427,465,524,474,512,465,470,473,530,384,422,3
397,495,505,516,521,426,463,522,472,510,464,469,471,528,383,412,3
394,495,505,516,521,426,463,522,472,510,464,470,471,528,383,411,3
