0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
356,523,377,550,551,504,445,99,512,457,497,466,173,546,509,480,1
356,523,378,551,552,504,446,99,512,457,498,468,174,547,510,481,1
357,524,379,551,552,504,447,99,512,458,499,468,178,547,510,482,1
358,524,378,551,552,504,447,99,512,458,500,469,176,548,511,482,1
358,524,378,551,553,505,448,99,513,458,500,469,177,548,512,483,1
358,524,379,551,553,505,448,99,512,458,501,470,177,548,512,483,1
358,524,378,551,553,505,448,100,513,458,502,470,177,548,513,484,1
359,525,379,551,553,505,449,99,513,458,502,470,178,548,513,485,1
360,525,381,552,553,505,449,100,512,458,503,470,185,548,513,485,1
360,525,381,551,553,505,450,100,512,458,503,471,184,549,513,486,1
