0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
421,536,92,494,509,312,486,400,495,421,529,501,297,516,312,445,2
424,535,86,486,475,252,491,435,499,449,502,403,194,514,332,428,2
450,541,91,493,484,278,489,421,499,404,509,427,293,510,293,446,2
451,541,97,493,485,282,489,425,499,407,514,442,307,515,277,447,2
457,535,89,490,469,288,491,435,499,408,513,436,293,517,295,449,2
447,541,92,492,491,273,489,414,499,417,519,448,300,517,281,451,2
452,544,100,492,494,270,487,416,499,423,519,449,304,519,285,453,2
451,544,102,492,494,267,487,422,499,426,519,449,308,520,290,454,2
450,544,100,491,496,265,488,422,498,426,522,448,308,519,281,455,2
451,544,102,491,497,266,488,426,498,428,523,451,307,518,281,456,2
