0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
436,519,504,510,511,399,468,539,487,523,517,541,447,537,509,496,0
440,525,503,510,504,397,468,539,487,522,517,541,447,537,509,497,0
439,524,502,510,506,397,468,538,486,522,517,541,445,537,509,497,0
439,523,503,511,507,397,468,538,486,522,518,541,447,537,510,497,0
439,523,504,511,507,398,469,538,486,522,518,541,447,537,510,497,0
440,518,506,511,511,398,468,537,486,522,517,541,448,537,510,498,0
436,499,505,509,523,402,467,538,486,523,517,541,448,537,510,498,0
436,501,505,510,523,404,467,535,486,518,518,541,450,537,511,498,0
436,506,506,509,525,409,467,527,487,518,519,541,450,537,511,499,0
439,515,507,509,514,403,466,541,487,521,519,542,451,538,512,499,0
