0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
487,554,196,478,490,82,477,177,469,287,498,452,477,550,384,416,2
456,540,112,455,514,129,480,242,470,330,523,470,432,541,357,436,2
478,548,186,470,501,84,478,166,470,307,522,468,464,546,365,422,2
465,548,171,473,506,86,479,152,471,319,518,472,465,546,370,421,2
483,558,377,501,475,84,470,115,470,268,501,462,487,551,381,415,2
473,557,376,501,481,85,473,129,470,287,511,467,490,549,383,425,2
484,556,375,499,484,85,474,132,469,293,506,468,490,548,385,419,2
480,555,368,497,491,85,474,126,470,283,509,466,493,549,388,425,2
481,555,336,498,494,85,475,121,471,295,512,468,487,549,390,424,2
488,558,401,503,484,82,473,104,471,289,472,462,492,550,389,409,2
