0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
491,565,457,536,539,421,432,102,501,524,480,463,393,522,468,392,1
490,565,458,535,539,421,432,102,501,523,481,463,395,522,468,393,1
489,565,459,536,540,422,432,102,501,523,482,464,398,522,470,394,1
486,564,464,537,542,423,431,103,501,522,482,465,400,522,469,395,1
491,563,460,536,543,422,434,103,501,525,482,466,399,523,470,396,1
481,562,466,532,544,418,415,101,501,524,481,469,388,522,461,387,1
485,562,467,537,544,418,420,101,501,524,482,469,398,523,463,393,1
486,561,467,536,544,417,422,101,501,524,483,469,399,523,464,394,1
486,562,467,536,543,419,423,101,501,524,483,469,400,523,466,395,1
488,562,467,536,544,420,425,101,501,525,483,469,402,523,467,396,1
