0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
514,527,512,526,493,452,438,357,457,421,409,414,498,543,315,444,3
512,524,509,523,491,451,436,357,456,421,408,413,496,540,321,443,3
509,521,505,522,488,447,433,353,454,420,407,412,494,537,325,442,3
522,523,516,532,500,461,442,361,464,428,416,421,504,549,334,452,3
522,532,518,533,506,460,444,364,465,430,418,423,504,549,339,455,3
522,542,518,533,508,458,443,368,466,432,418,424,505,550,340,455,3
521,544,518,533,508,457,443,367,466,432,419,424,505,549,341,456,3
521,544,519,532,509,458,444,368,466,432,419,424,506,549,343,456,3
521,544,519,532,509,458,444,370,467,432,420,424,506,550,343,456,3
522,545,519,533,509,458,444,370,468,434,420,425,506,550,345,457,3
